Year;State;"Section Code";"Section Description";"SH2 Code";"SH2 Description";"SH4 Code";"SH4 Description";"US$ FOB"
2021;"Rio de Janeiro";V;"Mineral products ";27;"Mineral fuels, mineral oils, bituminous substances; mineral waxes";2709;"Crude oil from petroleum and bituminous minerals";24940570519
2021;Pará;V;"Mineral products ";26;"Ores, slag and ash";2601;"Iron ores and concentrates, including roasted iron pyrites";21765587199
2021;"Minas Gerais";V;"Mineral products ";26;"Ores, slag and ash";2601;"Iron ores and concentrates, including roasted iron pyrites";18223505445
2021;"Mato Grosso";II;"Vegetable products";12;"Oil seeds and oleaginous fruits; Grains, Seeds, others";1201;"Soya beans, whether or not broken";10439683362
2021;"Rio Grande do Sul";II;"Vegetable products";12;"Oil seeds and oleaginous fruits; Grains, Seeds, others";1201;"Soya beans, whether or not broken";6219205448
2021;"São Paulo";IV;"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes";17;"Sugars and sugar confectionery";1701;"Cane or beet sugar and chemically pure sucrose, in solid form";5662610525
2021;Paraná;II;"Vegetable products";12;"Oil seeds and oleaginous fruits; Grains, Seeds, others";1201;"Soya beans, whether or not broken";4661670570
2021;"Minas Gerais";II;"Vegetable products";09;"Coffee, tea, maté and spices";0901;"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion";4435709243
2021;"São Paulo";V;"Mineral products ";27;"Mineral fuels, mineral oils, bituminous substances; mineral waxes";2709;"Crude oil from petroleum and bituminous minerals";4431997459
2021;"Espírito Santo";V;"Mineral products ";26;"Ores, slag and ash";2601;"Iron ores and concentrates, including roasted iron pyrites";3326200049
2021;"São Paulo";V;"Mineral products ";27;"Mineral fuels, mineral oils, bituminous substances; mineral waxes";2710;"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic con";3244497010
2021;Goiás;II;"Vegetable products";12;"Oil seeds and oleaginous fruits; Grains, Seeds, others";1201;"Soya beans, whether or not broken";3193221285
2021;"Mato Grosso";II;"Vegetable products";10;Cereals;1005;"Maize (corn)";3111707961
2021;Paraná;I;"Lives animals; Animal products";02;"Meat and edible meat offal";0207;"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen";2704638483
2021;Pará;V;"Mineral products ";26;"Ores, slag and ash";2603;"Copper ores and concentrates";2517138927
2021;"Mato Grosso";IV;"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes";23;"Residues and waste from the food industries; others";2304;"Soybean oilcake and other solid residue, wh/not ground";2472331518
