"","entity_name","iso3c","year","p10","p90","population","continent"
"1","Albania","ALB",2017,4.91,22.72,2879361,NA
"2","Albania","ALB",2018,5.47,23.32,2877019,NA
"3","Angola","AGO",2018,1.07,10.72,31273538,NA
"4","Argentina - urban",NA,2017,7.86,58.4,NA,NA
"5","Argentina - urban",NA,2018,7,53.25,NA,NA
"6","Armenia","ARM",2017,3.85,14.08,2851929,NA
"7","Armenia","ARM",2018,3.71,14,2836563,NA
"8","Australia","AUS",2018,25.06,113.4,24979228,NA
"9","Austria","AUT",2017,27.86,106.5,8797497,NA
"10","Austria","AUT",2018,27.9,108.5,8840518,NA
"11","Belarus","BLR",2017,8.69,26.78,9707874,NA
"12","Belarus","BLR",2018,9.49,28.72,9695573,NA
"13","Belgium","BEL",2017,25.22,89.5,11384491,NA
"14","Belgium","BEL",2018,25.98,90.05,11448598,NA
"15","Benin","BEN",2018,1.71,8.58,11940688,NA
"16","Bhutan","BTN",2017,3.72,20.92,756130,NA
"17","Bolivia","BOL",2017,3.95,39.05,11435535,NA
"18","Bolivia","BOL",2018,4.33,37.45,11606906,NA
"19","Brazil","BRA",2017,3.43,41.3,208504960,NA
"20","Brazil","BRA",2018,3.43,42.85,210166592,NA
"21","Bulgaria","BGR",2017,6.99,39.65,7182430,NA
"22","Bulgaria","BGR",2018,8.01,46.35,7117424,NA
"23","Burkina Faso","BFA",2018,1.38,10.76,20392730,NA
"24","Canada","CAN",2017,24.82,114.5,36554344,NA
"25","Chad","TCD",2018,1.4,7,15604213,NA
"26","Chile","CHL",2017,7.52,46.95,18368582,NA
"27","China","CHN",2017,4.1,23.96,1410275968,NA
"28","China","CHN",2018,4.44,25.48,1417069440,NA
"29","China - rural",NA,2017,3.39,15,NA,NA
"30","China - rural",NA,2018,3.74,16.16,NA,NA
"31","China - urban",NA,2017,5.25,28.62,NA,NA
"32","China - urban",NA,2018,5.43,30.2,NA,NA
"33","Colombia","COL",2017,3.31,29.98,48351668,NA
"34","Colombia","COL",2018,3.28,30.6,49276968,NA
